building_no,name,area,address,raw_address,display_address,management_company,management_phone,manager_name,manager_phone,active_users,total_households,ip,host,note,contract_status,monthly_revenue,building_type,service_level,public_facility_status,manager_age,manager_experience,manager_interest,visit_time,committee_time,resident_meeting_time,created_at,updated_at
B167,太子雲端,東區,,,,太子雲端管理委員會,,,,37,37,125.228.225.171:9000,http://59.127.31.36:9000/,從 LINE 東區工務聊天匯入; mentions=148,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B168,崇學苑,東區,,,,崇學苑管理委員會,,,,44,44,125.229.205.6:9000,http://59.127.193.48:9000/,從 LINE 東區工務聊天匯入; mentions=146,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B169,文化藝術家,東區,,,,文化藝術家管理委員會,,,,27,27,125.229.205.189:9000,http://220.135.45.158:9000/,從 LINE 東區工務聊天匯入; mentions=143,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B170,和築,東區,,,,和築管理委員會,,,,34,34,125.229.207.118:9000,http://220.133.21.209:9000/,從 LINE 東區工務聊天匯入; mentions=139,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B171,文化特區,東區,,,,文化特區管理委員會,,,,42,42,125.229.205.163:9000,http://220.134.145.196:9000/,從 LINE 東區工務聊天匯入; mentions=138,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B172,站前CASA,東區,,,,站前CASA管理委員會,,,,25,25,220.132.250.189:9000,http://125.227.242.13:9000/,從 LINE 東區工務聊天匯入; mentions=137,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B173,文化名園,東區,,,,文化名園管理委員會,,,,38,38,125.228.225.79:9000,http://122.117.15.251:9000/,從 LINE 東區工務聊天匯入; mentions=133,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B174,帝凡內,東區,,,,帝凡內管理委員會,,,,30,30,220.135.188.123:9000,http://220.134.162.38:9000/,從 LINE 東區工務聊天匯入; mentions=128,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B175,皆大歡喜,東區,,,,皆大歡喜管理委員會,,,,34,34,122.117.199.70:9000,http://220.134.144.188:9000/,從 LINE 東區工務聊天匯入; mentions=126,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B176,公園麗緻,東區,,,,公園麗緻管理委員會,,,,20,20,114.33.182.229:9000,http://220.134.145.27:9000/,從 LINE 東區工務聊天匯入; mentions=123,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B177,皇龍第一園,東區,,,,皇龍第一園管理委員會,,,,30,30,220.134.144.136:9000,http://122.117.198.107:9000/,從 LINE 東區工務聊天匯入; mentions=116,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B178,市政阿曼,東區,,,,市政阿曼管理委員會,,,,36,36,59.127.151.131:9000,http://59.127.30.248:9000/,從 LINE 東區工務聊天匯入; mentions=114,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B179,世界真美麗,東區,,,,世界真美麗管理委員會,,,,26,26,218.161.22.120:9000,,從 LINE 東區工務聊天匯入; mentions=111,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B180,真愛2,東區,,,,真愛2管理委員會,,,,42,42,220.134.144.171:9000,,從 LINE 東區工務聊天匯入; mentions=109,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B181,文府硯,東區,,,,文府硯管理委員會,,,,26,26,220.134.144.172:9000,,從 LINE 東區工務聊天匯入; mentions=108,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B182,大聖皇宮,東區,,,,大聖皇宮管理委員會,,,,15,15,,http://114.35.141.17:9000/,從 LINE 東區工務聊天匯入; mentions=106,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 21:32:37
B183,佳鋐城心,東區,,,,佳鋐城心管理委員會,,,,36,36,220.134.144.186:9000,,從 LINE 東區工務聊天匯入; mentions=105,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B184,海景富邑,東區,,,,海景富邑管理委員會,,,,24,24,220.134.144.174:9000,http://122.117.15.250:9000/,從 LINE 東區工務聊天匯入; mentions=101,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B185,神仙家庭,東區,,,,神仙家庭管理委員會,,,,27,27,59.127.30.222:9000,http://114.35.230.246:9000/,從 LINE 東區工務聊天匯入; mentions=99,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B186,晶悅首發,東區,,,,晶悅首發管理委員會,,,,44,44,114.33.160.192:9000,,從 LINE 東區工務聊天匯入; mentions=94,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B187,國泰桂冠,東區,,,,國泰桂冠管理委員會,,,,18,18,220.134.145.35:9000,http://59.127.106.249:9000/,從 LINE 東區工務聊天匯入; mentions=91,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B188,水悅灣,東區,,,,水悅灣管理委員會,,,,19,19,220.134.145.204:9000,,從 LINE 東區工務聊天匯入; mentions=89,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B189,博悅,東區,,,,博悅管理委員會,,,,15,15,220.134.144.144:9000,http://220.132.232.221:9000/,從 LINE 東區工務聊天匯入; mentions=87,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B190,大林國宅,東區,,,,大林國宅管理委員會,,,,56,56,220.134.145.186:9000,http://122.117.188.119:9000/,從 LINE 東區工務聊天匯入; mentions=87,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B191,湖美天河,東區,,,,湖美天河管理委員會,,,,27,27,220.133.69.68:9000,http://114.33.178.92:9000/,從 LINE 東區工務聊天匯入; mentions=86,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B193,荷蘭湖美,東區,,,,荷蘭湖美管理委員會,,,,26,26,220.134.144.211:9000,,從 LINE 東區工務聊天匯入; mentions=78,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B195,情趣生活家,東區,,,,情趣生活家管理委員會,,,,11,11,,http://122.117.182.209:9000/,從 LINE 東區工務聊天匯入; mentions=75,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 21:32:37
B196,香榭大道,東區,,,,香榭大道管理委員會,,,,15,15,220.134.145.196:9000,http://59.127.30.236:9000/,從 LINE 東區工務聊天匯入; mentions=73,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B197,佳鋐城意,東區,,,,佳鋐城意管理委員會,,,,18,18,220.134.145.134:9000,http://59.127.246.23:9000/,從 LINE 東區工務聊天匯入; mentions=71,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B198,國泰萊茵,東區,,,,國泰萊茵管理委員會,,,,18,18,59.127.246.50:9000,http://220.135.188.215:9000/,從 LINE 東區工務聊天匯入; mentions=71,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B199,文化傳家文化區,東區,,,,文化傳家文化區管理委員會,,,,23,23,,http://125.228.208.28:9000/,從 LINE 東區工務聊天匯入; mentions=71,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 21:32:37
B200,東方郡國,東區,,,,東方郡國管理委員會,,,,15,15,59.127.246.61:9000,http://220.133.68.157:9000/,從 LINE 東區工務聊天匯入; mentions=71,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B201,遠雄頂美,東區,,,,遠雄頂美管理委員會,,,,23,23,220.134.145.26:9000,http://211.23.34.35:9000/,從 LINE 東區工務聊天匯入; mentions=64,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B202,佳展大方,東區,,,,佳展大方管理委員會,,,,29,29,125.227.242.13:9000,http://59.127.30.234:9000/,從 LINE 東區工務聊天匯入; mentions=58,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B203,和宜仁和,東區,,,,和宜仁和管理委員會,,,,29,29,220.132.247.112:9000,http://111.254.128.18:9000/,從 LINE 東區工務聊天匯入; mentions=57,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B204,威斯汀,東區,,,,威斯汀管理委員會,,,,10,10,122.117.164.40:9000,http://59.127.135.3:9000/,從 LINE 東區工務聊天匯入; mentions=55,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B205,力漢念真情,東區,,,,力漢念真情管理委員會,,,,12,12,,http://220.134.144.204:9000/,從 LINE 東區工務聊天匯入; mentions=46,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 21:32:37
B206,白京京東,東區,,,,白京京東管理委員會,,,,12,12,220.134.144.207:9000,http://220.134.145.179:58000/,從 LINE 東區工務聊天匯入; mentions=46,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B207,佳鋐首邑,東區,,,,佳鋐首邑管理委員會,,,,6,6,,http://220.134.145.210:9000/,從 LINE 東區工務聊天匯入; mentions=43,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 21:32:37
B208,昕都心,東區,,,,昕都心管理委員會,,,,14,14,220.134.144.214:9000,http://122.117.198.18:9000/,從 LINE 東區工務聊天匯入; mentions=43,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B209,棕櫚灣,東區,,,,棕櫚灣管理委員會,,,,14,14,59.127.209.184:9000,http://125.228.225.128:9000/,從 LINE 東區工務聊天匯入; mentions=43,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B210,荷蘭海韻,東區,,,,荷蘭海韻管理委員會,,,,22,22,125.229.205.19:9000,http://36.237.88.8:9000/,從 LINE 東區工務聊天匯入; mentions=43,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B211,崇明天廈,東區,,,,崇明天廈管理委員會,,,,17,17,114.35.230.124:9000,http://114.33.172.179:9000/,從 LINE 東區工務聊天匯入; mentions=41,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B212,戀戀風格,東區,,,,戀戀風格管理委員會,,,,9,9,220.134.145.206:9000,http://211.22.246.153:9000/,從 LINE 東區工務聊天匯入; mentions=38,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B213,文化傳家儒林區,東區,,,,文化傳家儒林區管理委員會,,,,16,16,,http://122.117.230.146:9000/,從 LINE 東區工務聊天匯入; mentions=38,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 21:32:37
B218,儒林區,東區,,,,儒林區管理委員會,,,,8,8,59.127.30.234:9000,http://61.221.145.73:9000/,從 LINE 東區工務聊天匯入; mentions=31,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B219,鑫市政,東區,,,,鑫市政管理委員會,,,,10,10,220.133.249.52:9000,http://122.117.161.104:9000/,從 LINE 東區工務聊天匯入; mentions=31,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B220,文化藝境,東區,,,,文化藝境管理委員會,,,,4,4,,http://61.216.114.67:9000/,從 LINE 東區工務聊天匯入; mentions=30,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 21:32:37
B222,白里織上,東區,,,,白里織上管理委員會,,,,17,17,114.35.230.66:9000,,從 LINE 東區工務聊天匯入; mentions=30,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B223,東都綠學,東區,,,,東都綠學管理委員會,,,,11,11,220.135.163.237:9000,,從 LINE 東區工務聊天匯入; mentions=28,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B224,華友聯EVO,東區,,,,華友聯EVO管理委員會,,,,7,7,,,從 LINE 東區工務聊天匯入; mentions=28,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-16 02:02:40
B225,鄉城文化特區,東區,,,,鄉城文化特區管理委員會,,,,6,6,,,從 LINE 東區工務聊天匯入; mentions=27,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-16 02:02:40
B226,歸仁幸福時光,東區,,,,歸仁幸福時光管理委員會,,,,6,6,,,從 LINE 東區工務聊天匯入; mentions=26,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-16 02:02:40
B227,閱讀左岸,東區,,,,閱讀左岸管理委員會,,,,7,7,,,從 LINE 東區工務聊天匯入; mentions=25,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-16 02:02:40
B228,大國學苑,東區,,,,大國學苑管理委員會,,,,8,8,,,從 LINE 東區工務聊天匯入; mentions=23,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-16 02:02:40
B229,崇德大廈,東區,,,,崇德大廈管理委員會,,,,8,8,114.35.140.218:9000,,從 LINE 東區工務聊天匯入; mentions=22,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B230,知音悅,東區,,,,知音悅管理委員會,,,,5,5,220.134.148.40:9000,,從 LINE 東區工務聊天匯入; mentions=22,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B232,遠雄明日讚,東區,,,,遠雄明日讚管理委員會,,,,3,3,220.132.97.241:9000,,從 LINE 東區工務聊天匯入; mentions=18,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B233,京城上新光,東區,,,,京城上新光管理委員會,,,,3,3,220.134.144.208:9000,,從 LINE 東區工務聊天匯入; mentions=17,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B234,熱城,東區,,,,熱城管理委員會,,,,4,4,,,從 LINE 東區工務聊天匯入; mentions=16,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-16 02:02:40
B235,福容ONE,東區,,,,福容ONE管理委員會,,,,3,3,220.134.144.135:9000,,從 LINE 東區工務聊天匯入; mentions=16,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B238,大隆,東區,,,,大隆管理委員會,,,,3,3,,,從 LINE 東區工務聊天匯入; mentions=15,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-16 02:02:40
B239,謙邑,東區,,,,謙邑管理委員會,,,,5,5,220.134.144.140:9000,,從 LINE 東區工務聊天匯入; mentions=15,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B240,府前院,東區,,,,府前院管理委員會,,,,6,6,,,從 LINE 東區工務聊天匯入; mentions=14,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-16 02:02:40
B243,雅築,東區,,,,雅築管理委員會,,,,8,8,,,從 LINE 東區工務聊天匯入; mentions=13,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-16 02:02:40
B245,太子鎮,東區,,,,太子鎮管理委員會,,,,1,1,,,從 LINE 東區工務聊天匯入; mentions=12,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-16 02:02:40
B246,I幸福,東區,,,,I幸福管理委員會,,,,5,5,,,從 LINE 東區工務聊天匯入; mentions=11,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-16 02:02:40
B247,新悅城香榭區,東區,,,,新悅城香榭區管理委員會,,,,7,7,,,從 LINE 東區工務聊天匯入; mentions=11,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-16 02:02:40
B248,摩登,東區,,,,摩登管理委員會,,,,7,7,,,從 LINE 東區工務聊天匯入; mentions=10,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-16 02:02:40
B250,新悅城凱旋,東區,,,,新悅城凱旋管理委員會,,,,3,3,,,從 LINE 東區工務聊天匯入; mentions=9,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-16 02:02:40
B251,林森苑,東區,,,,林森苑管理委員會,,,,3,3,125.228.226.242:9000,,從 LINE 東區工務聊天匯入; mentions=9,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B255,漾煙波,東區,,,,漾煙波管理委員會,,,,2,2,125.228.225.128:9000,,從 LINE 東區工務聊天匯入; mentions=8,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B256,胡桃鉗,東區,,,,胡桃鉗管理委員會,,,,1,1,,,從 LINE 東區工務聊天匯入; mentions=8,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-16 02:02:40
B257,名家福第,東區,,,,名家福第管理委員會,,,,1,1,,,從 LINE 東區工務聊天匯入; mentions=7,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-16 02:02:40
B258,佳展大展,東區,,,,佳展大展管理委員會,,,,28,28,114.33.176.232:9000,,從 LINE 東區工務聊天匯入; mentions=7,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B259,大同京都,東區,,,,大同京都管理委員會,,,,1,1,,,從 LINE 東區工務聊天匯入; mentions=7,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-16 02:02:40
B260,大隆一期,東區,,,,大隆一期管理委員會,,,,2,2,,,從 LINE 東區工務聊天匯入; mentions=7,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-16 02:02:40
B261,新天地,東區,,,,新天地管理委員會,,,,4,4,,,從 LINE 東區工務聊天匯入; mentions=7,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-16 02:02:40
B262,晶悅合一,東區,,,,晶悅合一管理委員會,,,,7,7,59.127.125.223:9000,,從 LINE 東區工務聊天匯入; mentions=7,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B263,超級贏家,東區,,,,超級贏家管理委員會,,,,1,1,220.134.144.213:9000,,從 LINE 東區工務聊天匯入; mentions=7,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B264,My鑫光,東區,,,,My鑫光管理委員會,,,,2,2,,,從 LINE 東區工務聊天匯入; mentions=6,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-16 02:02:40
B265,歸仁明日讚,東區,,,,歸仁明日讚管理委員會,,,,1,1,,,從 LINE 東區工務聊天匯入; mentions=6,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-16 02:02:40
B268,昕視界,東區,,,,昕視界管理委員會,,,,1,1,,,從 LINE 東區工務聊天匯入; mentions=6,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-16 02:02:40
B269,歸仁好事達,東區,,,,歸仁好事達管理委員會,,,,7,7,,,從 LINE 東區工務聊天匯入; mentions=6,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-16 02:02:40
B270,第一樓,東區,,,,第一樓管理委員會,,,,4,4,,,從 LINE 東區工務聊天匯入; mentions=6,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-16 02:02:40
B271,都會小館,東區,,,,都會小館管理委員會,,,,3,3,,,從 LINE 東區工務聊天匯入; mentions=6,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-16 02:02:40
B272,享京城,東區,,,,享京城管理委員會,,,,1,1,,,從 LINE 東區工務聊天匯入; mentions=5,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-16 02:02:40
B274,太子龍,東區,,,,太子龍管理委員會,,,,1,1,114.33.157.220:9000,,從 LINE 東區工務聊天匯入; mentions=5,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B276,春天八期,東區,,,,春天八期管理委員會,,,,4,4,,,從 LINE 東區工務聊天匯入; mentions=5,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-16 02:02:40
B277,梅菲爾,東區,,,,梅菲爾管理委員會,,,,1,1,,,從 LINE 東區工務聊天匯入; mentions=5,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-16 02:02:40
B278,歸仁皇邑,東區,,,,歸仁皇邑管理委員會,,,,3,3,,,從 LINE 東區工務聊天匯入; mentions=5,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-16 02:02:40
B279,湮波四季,東區,,,,湮波四季管理委員會,,,,1,1,,,從 LINE 東區工務聊天匯入; mentions=5,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-16 02:02:40
B280,世界成功,東區,,,,世界成功管理委員會,,,,2,2,59.127.246.62:9000,,從 LINE 東區工務聊天匯入; mentions=4,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B281,成大會館,東區,,,,成大會館管理委員會,,,,2,2,122.117.199.172:9000,,從 LINE 東區工務聊天匯入; mentions=4,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B283,文元會館,東區,,,,文元會館管理委員會,,,,3,3,220.134.144.168:9000,,從 LINE 東區工務聊天匯入; mentions=4,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B284,東方荷蘭,東區,,,,東方荷蘭管理委員會,,,,1,1,,,從 LINE 東區工務聊天匯入; mentions=1,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-16 02:02:40
B285,佳展大景,北區,,,,,,,,0,0,220.134.144.160:9000,,,,0,,,,,,,,,,2026-05-17 01:55:22,2026-05-17 14:04:23
B286,EVO,,,,,,,,,0,0,59.127.209.137:9000,,,,0,,,,,,,,,,2026-05-17 14:04:27,2026-05-17 14:04:27
B287,H 會館,,,,,,,,,0,0,114.35.230.120:9000,,,,0,,,,,,,,,,2026-05-17 14:04:27,2026-05-17 14:04:27
B289,Hi 協勝發,,,,,,,,,0,0,220.132.27.42:9000,,,,0,,,,,,,,,,2026-05-17 14:04:27,2026-05-17 14:04:27
B293,W創世紀,,,,,,,,,0,0,125.228.225.217:9000,,,,0,,,,,,,,,,2026-05-17 14:04:27,2026-05-17 14:04:27
B294,三發夢世代,,,,,,,,,0,0,220.134.162.38:9000,,,,0,,,,,,,,,,2026-05-17 14:04:27,2026-05-17 14:04:27
B295,三發滙世界,,,,,,,,,0,0,61.216.183.95:9000,,,,0,,,,,,,,,,2026-05-17 14:04:27,2026-05-17 14:04:27
B296,世紀星鑽一心,,,,,,,,,0,0,220.134.182.12:9000,,,,0,,,,,,,,,,2026-05-17 14:04:27,2026-05-17 14:04:27
B297,世紀星鑽河北,,,,,,,,,0,0,114.35.240.146:9000,,,,0,,,,,,,,,,2026-05-17 14:04:27,2026-05-17 14:04:27
B298,中華大道,,,,,,,,,0,0,125.229.207.175:9000,,,,0,,,,,,,,,,2026-05-17 14:04:27,2026-05-17 14:04:27
B299,中華頌,,,,,,,,,0,0,114.35.141.42:9000,,,,0,,,,,,,,,,2026-05-17 14:04:27,2026-05-17 14:04:27
B300,二空新城_a,,,,,,,,,0,0,125.227.245.49:9000,,,,0,,,,,,,,,,2026-05-17 14:04:27,2026-05-17 14:04:27
B301,二空新城_b,,,,,,,,,0,0,61.218.213.242:9000,,,,0,,,,,,,,,,2026-05-17 14:04:27,2026-05-17 14:04:27
B302,二空新城_c,,,,,,,,,0,0,220.133.6.55:9000,,,,0,,,,,,,,,,2026-05-17 14:04:27,2026-05-17 14:04:27
B303,享家,,,,,,,,,0,0,59.127.246.63:9000,,,,0,,,,,,,,,,2026-05-17 14:04:27,2026-05-17 14:04:27
B304,仁發總圖滙,,,,,,,,,0,0,218.161.7.169:9000,,,,0,,,,,,,,,,2026-05-17 14:04:27,2026-05-17 14:04:27
B305,伯納伯森,,,,,,,,,0,0,114.33.181.197:9000,,,,0,,,,,,,,,,2026-05-17 14:04:27,2026-05-17 14:04:27
B306,佳晟家成,,,,,,,,,0,0,220.134.144.147:9000,,,,0,,,,,,,,,,2026-05-17 14:04:27,2026-05-17 14:04:27
B307,佳順寓安,,,,,,,,,0,0,220.135.45.158:9000,,,,0,,,,,,,,,,2026-05-17 14:04:27,2026-05-17 14:04:27
B308,佳順永康,,,,,,,,,0,0,61.221.145.73:9000,,,,0,,,,,,,,,,2026-05-17 14:04:27,2026-05-17 14:04:27
B309,億萬居,,,,,,,,,0,0,220.133.247.56:9000,,,,0,,,,,,,,,,2026-05-17 14:04:27,2026-05-17 14:04:27
B310,公園華廈,,,,,,,,,0,0,211.21.222.93:9000,,,,0,,,,,,,,,,2026-05-17 14:04:27,2026-05-17 14:04:27
B311,公教大樓,,,,,,,,,0,0,122.117.185.10:9000,,,,0,,,,,,,,,,2026-05-17 14:04:27,2026-05-17 14:04:27
B314,凱悅新世界,,,,,,,,,0,0,220.134.144.212:9000,,,,0,,,,,,,,,,2026-05-17 14:04:27,2026-05-17 14:04:27
B315,北安公園,,,,,,,,,0,0,220.135.189.56:9000,,,,0,,,,,,,,,,2026-05-17 14:04:27,2026-05-17 14:04:27
B316,北歐101,,,,,,,,,0,0,125.229.205.79:9000,,,,0,,,,,,,,,,2026-05-17 14:04:27,2026-05-17 14:04:27
B317,協奏曲,,,,,,,,,0,0,211.21.218.103:9000,,,,0,,,,,,,,,,2026-05-17 14:04:27,2026-05-17 14:04:27
B318,協奏曲2,,,,,,,,,0,0,122.117.188.141:9000,,,,0,,,,,,,,,,2026-05-17 14:04:27,2026-05-17 14:04:27
B319,南科名門,,,,,,,,,0,0,122.117.198.120:9000,,,,0,,,,,,,,,,2026-05-17 14:04:27,2026-05-17 14:04:27
B320,南科大師,,,,,,,,,0,0,125.228.225.233:9000,,,,0,,,,,,,,,,2026-05-17 14:04:27,2026-05-17 14:04:27
B321,南紡森林故鄉A區,,,,,,,,,0,0,220.134.144.202:9000,,,,0,,,,,,,,,,2026-05-17 14:04:27,2026-05-17 14:04:27
B322,台南第一樓,,,,,,,,,0,0,59.127.72.58:9000,,,,0,,,,,,,,,,2026-05-17 14:04:27,2026-05-17 14:04:27
B323,台泓敦睦,,,,,,,,,0,0,111.254.159.93:9000,,,,0,,,,,,,,,,2026-05-17 14:04:27,2026-05-17 14:04:27
